Key,Source,Context,Changes,English,French,German,Klingon,Spanish
painkillersDesc,items,Medical,EnChanged,鎮痛剤(painkiller)。服用すると、ゆっくり体力を回復させます。少し喉が渇きます。,Painkillers help you shrug off stunning blows and heal you a little over time. Like all chems they make you thirsty.,Du hast Schmerzmittel genommen.,,Tomaste analgésicos.
partsAuger_bladeDesc,items,Part,EnChanged,ドリル(Auger)の部品です。組立てるには、設計図を読む必要があります。,Used to assemble an auger. If your science skill is high enough you can recraft and improve it at the workbench.,Ein Teil eines Erdbohrers. Wenn du in Wissenschaft gut bist dann kannst du ihn auf einer Werkbank neu fertigen und verbessern.,,
partsChainsaw_bladeDesc,items,Part,EnChanged,チェーンソー(Chainsaw)の部品です。組立てるには、設計図を読む必要があります。,Used to assemble a chainsaw. If your science skill is high enough you can recraft and improve it at the workbench.,Ein Teil einer Kettensäge. Wenn du in Wissenschaft gut bist dann kannst du es auf einer Werkbank neu fertigen und verbessern.,,
concreteMixingDesc,progression,Perk,EnChanged,このperkを購入すると、コンクリート関連レシピとコンクリートを自動でつくるコンクリートミキサーのレシピを解放します。,Unlocks the ability to make cement. To make concrete you also need a cement mixer.,Schaltet die Fertigung von Zement frei. Um Beton herzustellen benötigst du zusätzlich einen Zementmischer.,,Desbloquea la habilidad de crear hormigón y el mezclador de cemento.
deadShotDesc,progression,Perk,EnChanged,ピストルによる部位破壊・首チョンパ確率を上げるperkです。効果対象：ピストル,Shoot them dead with style!  Every rank increases your chance to blow off heads and limbs with pistols and revolvers.,Erschieße sie mit Stil mit Pistolen und Revolvern! Jeder Rang erhöht die Chance Köpfe und Gliedmaßen abzuschießen.,,¡Mátalos con estilo! Aumenta las posibilidades de que el revólver haga que los sesos y las extremidades de los enemigos salgan volando con nada nivel.
theOutlawDesc,progression,Perk,EnChanged,この無法の大地で自分らしく生きて死ね。\nピストルのダメージが向上するperk。,You broke the laws of logic. Your pistol or revolver does more damage with every rank.,Du hast die Gesetze der Logik gebrochen. Pistolen und Revolver verursachen mit jedem Rang mehr Schaden.,,Has quebrantado las leyes de la lógica. El revólver inflige más daño con cada nivel.
44MagnumRoundCraftingDesc,progression,Skill,EnChanged,このperkを買えば、.44マグナム弾薬のレシピを解放します。,Learn to craft .44 magnum rounds at a workbench.,"Lerne, wie .44 Magnum Patronen gefertigt werden.",Aprende a fabricar balas para Magnum 44.,
762mmRoundCraftingDesc,progression,Skill,EnChanged,このperkを買えば、7.62mm弾薬のレシピを解放します。,Learn to craft 7.62mm rounds at a workbench.,"Lerne, wie 7,62 mm Patronen gefertigt werden.","Aprende a fabricar balas de 7,62 mm.",
9mmRoundCraftingDesc,progression,Skill,EnChanged,このperkを買えば、9mm弾薬のレシピを解放します。,Learn to craft 9mm rounds at a workbench.,"Lerne, wie 9 mm Patronen gefertigt werden.",Aprende a fabricar balas de 9mm.,
clothingArmor,progression,Skill,EnChanged,Clothing / Armor,Clothing / Armor,Kleidung / Rüstung,,Armadura pesadas
clothingArmorDesc,progression,Skill,EnChanged,衣服や防具を着ている時の被ダメージを軽減する。これらを着てダメージを受けることで経験値を得ることができる。,Receive less damage while wearing clothing or armor. Gain skill by taking damage while wearing items from this group.,"Erleide weniger Schaden, während du Kleidung oder Rüstung trägst. Erhalte diese Fertigkeit, indem du Schaden erleidest, während du Gegenstände aus dieser Kategorie trägst.",,
healthNutDesc,progression,Skill,EnChanged,Tierが上がる毎に健康値の最大値と最低値を10点ずつ上げる。,Raise your minimum and maximum wellness with every rank of this perk.,Erhöhe den Mindest- und Maximalwert für dein Wohlbefinden mit jedem Rang dieser Eigenschaft.,,Aumenta 10 puntos de tu bienestar máximo y mínimo por nivel.
miner69erDesc,progression,Skill,EnChanged,Tierが上がるごとに20％のダメージ上昇・10％のスタミナ軽減するperk,Increase both block damage and harvested resources while decreasing the stamina used with mining tools.,Erhöhe den Blockschaden und die erbeuteten Resourcen mit Bergbauwerkzeugen und verbrauche weniger Ausdauer pro Schlag.,,"Inflige 20 % más de daño en bloque con herramientas de minería. Además, cada golpe consume un 10 % menos de resistencia por nivel."
shotgunShellCraftingDesc,progression,Skill,EnChanged,このperkを買えば、ショットガン弾薬のレシピを解放します。,Learn to craft shotgun shells at a workbench.,"Lerne, wie Flintenmunition gefertigt wird.",Aprende a fabricar cartuchos de escopeta.,
runForestRun,progression,Skill,EnChanged FrChanged,Run Forrest Run,Run Forrest Run,"Lauf Forrest, lauf!","Corre, Forrest, corre",
goDifficulty2,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Adventurer,Adventurer,Abenteurer,,Aventurero
goDifficulty3,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Nomad (default),Nomad (default),Nomade (Standard),,Nómada (predeterminado)
woodenBowDesc,items,Gun,EnChanged GrChanged,木製の弓(wooden bow)。音を立てずに遠距離から攻撃出来ます。動物・ゾンビを狩る時に役立ちます。\n矢が必要です。,"Good for hunting and killing zombies. Uses stone, iron and steel-tipped arrows for ammunition. Hold reload to use alternate ammo.","Gut für die Jagd und um Zombies zu töten. Verwendet Pfeile mit Stein-, Eisen- oder Stahlspitzen. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",Un arco de madera. Ideal para cazar y matar zombis. Usa flechas como munición. Mantén presionado recargar para usar munición alternativa.,
cementDesc,items,Item,EnChanged GrChanged,セメント(cement)は敷石(flagstone)の材料や、コンクリートに使われます。\nクラフトするにはperkを購入する必要があります。,Cement is used to craft concrete mix. This requires the 'concrete' perk and a cement mixer.,Zement wird benutzt um Betonmischung zu fertigen. Daür brauchst du auch die Fertigkeit „Beton“ und einen Zementmischer.,,Se puede usar el cemento para fabricar baldosas. También puedes producir hormigón una vez que hayas comprado el beneficio de hormigón.
rock01,blocks,Block,EnChanged GrChanged KgNone,Small Rock 01,Small Rock 01,Kleiner Stein 01,,Piedra pequeña
rock02,blocks,Block,EnChanged GrChanged KgNone,Small Rock 02,Small Rock 02,Kleiner Stein 02,,Piedra pequeña
rock03,blocks,Block,EnChanged GrChanged KgNone,Small Rock 03,Small Rock 03,Kleiner Stein 03,,Piedra pequeña
rock04,blocks,Block,EnChanged GrChanged KgNone,Small Rock 04,Small Rock 04,Kleiner Stein 04,,Piedra pequeña
rock05,blocks,Block,EnChanged GrChanged KgNone,Small Rock 05,Small Rock 05,Kleiner Stein 05,,Piedra pequeña
rock06,blocks,Block,EnChanged GrChanged KgNone,Small Rock 06,Small Rock 06,Kleiner Stein 06,,Piedra pequeña
rock07,blocks,Block,EnChanged GrChanged KgNone,Small Rock 07,Small Rock 07,Kleiner Stein 07,,Piedra pequeña
rock08,blocks,Block,EnChanged GrChanged KgNone,Small Rock 08,Small Rock 08,Kleiner Stein 08,,Piedra pequeña
rock09,blocks,Block,EnChanged GrChanged KgNone,Small Rock 09,Small Rock 09,Kleiner Stein 09,,Piedra pequeña
rock10,blocks,Block,EnChanged GrChanged KgNone,Small Rock 10,Small Rock 10,Kleiner Stein 10,,Piedra pequeña
rock11,blocks,Block,EnChanged GrChanged KgNone,Small Rock 11,Small Rock 11,Kleiner Stein 11,,Piedra pequeña
rock12,blocks,Block,EnChanged GrChanged KgNone,Small Rock 12,Small Rock 12,Kleiner Stein 12,,Piedra pequeña
craftSkillArmor,progression,Skill,EnChanged KeyChanged,Armor Crafting,Armor Crafting,Rüstungsschmied,,Forjar armaduras
craftSkillArmorDesc,progression,Skill,EnChanged KeyChanged,防具や服のクラフト速度、品質を向上させるperk。修理ペナルティも低下します。,"Craft armor and clothes faster and at better quality while repairing them more efficiently. Buy levels of this perk to increase your skill from Crude to Novice, Apprentice, Journeyman, Professional and Master level.",,,
candleTable,blocks,Block,EnChanged KgNone,Candle Table,Candle Table (POI),Kerze Freistehend (POI),,Vela
candleWall,blocks,Block,EnChanged KgNone,Candle Wall,Candle Wall (POI),Kerze mit Wandhalterung (POI),,Vela
candleTablePlayer,blocks,Block,New,Candle Table,Candle Table,Kerze Freistehend,,Vela
candleWallPlayer,blocks,Block,New,Candle Wall,Candle Wall,Kerze mit Wandhalterung,,Vela
treeAzalea,blocks,Block,EnChanged KgNone,Azalea,Azalea,Holz,,Madera
wallTorch,blocks,Block,EnChanged KgNone,Wall Torch,Wall Torch (POI),Fackel mit Wandhalterung (POI),,Antorcha
wallTorchPlayer,blocks,Block,New,Wall Torch,Wall Torch,Fackel mit Wandhalterung,,Antorcha
woodStairsBoard,blocks,Block,EnChanged KgNone,Wood board stairs,Wood board stairs,Holzstufen – Brett,,Tabla de escaleras de madera
mushroom01,blocks,Farming,EnChanged,Mushroom 01 (Harvestable),Mushrooms 01 (POI),Pilze 01 (POI),,Setas 01
mushroom02,blocks,Farming,EnChanged,Mushroom 02 (Harvestable),Mushrooms 02 (POI),Pilze 02 (POI),,Setas 02
plantedBlueberry3Harvest,blocks,Farming,EnChanged KgNone,Blueberry Plant (Harvestable),Blueberry Plant (Harvestable),Gepflanzte Heidelbeere 3 – Ernte,,Sembrado Mora 3 Cosecha
signShopColdBeer,blocks,Sign,EnChanged KgNone,Sign (C)old Beer,Sign (C)old Beer,Bierladenschild,,Letrero de tienda Cerveza fría
woodLogSpike1Desc,blocks,Trap,EnChanged KgNone,ウッドログスパイク(wood log spike)は、ウッドスパイク(Wood Spikes)ほどではないですがダメージを与えます。ウッドスパイクより頑丈です。素材があれば、さらに頑丈にアップグレード出来ます。右クリックで設置します。,"Log spike traps can damage, cripple, even kill enemies and last longer than spike traps. Place them using the secondary action. (Upgradable)","Fallen mit spitzen Stämmen können Gegnern schaden, sie lähmen und sogar töten. Sie halten länger als Stachelfallen. Platziere sie mit der sekundären Aktion. (Aufwertbar)","Las trampas de pinchos de troncos de madera pueden dañar, lisiar e incluso matar a enemigos, y duran más que las trampas de pinchos. Usa la acción secundaria para colocarlas. (Se pueden mejorar).",
alcoholPoisoningDesc,buffs,Buff,EnChanged KgNone,アルコール中毒になりました。あなたが中毒から抜け出すには長い期間が必要です。,You have alcohol poisoning. There may be a duration but you're too sick to figure it out.,"Du hast eine Alkoholvergiftung. Dies hält vielleicht eine gewisse Zeit an, aber du kannst nicht rauskriegen, wie lange.","Tienes una congestión alcohólica. Puede que solo sea durante un rato, pero no sabes cuánto durará.",
beerBuzz,buffs,Buff,EnChanged KgNone,Buzzed,Buzzed,Bierrausch,,Cerveza Buzz
ballCap,items,Clothes,EnChanged KgNone,White Baseball Cap,White Baseball Cap,Baseballmütze,,Gorra de béisbol
blueberrySeed,items,Farming,EnChanged KgNone,Blueberry Seed,Blueberry Seed,Heidelbeersamen,,Semillas de mora
potatoSeed,items,Farming,EnChanged KgNone,Potato Seed,Potato Seed,Saatkartoffel,,Semillas de papa
treePlantedMaple1mDesc,items,Farming,EnChanged KgNone,これらの種は土に植えて木を育てることができます。砂漠でも成長するかもしれませんが、肥沃な土地を好みます。,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",Planta estas semillas en la tierra para que crezca un árbol.,
treePlantedMountainPine1mDesc,items,Farming,EnChanged KgNone,これらの種は土に植えて木を育てることができます。砂漠でも成長するかもしれませんが、肥沃な土地を好みます。,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",Planta estas semillas en la tierra para que crezca un árbol.,
treePlantedWinterPine1mDesc,items,Farming,EnChanged KgNone,これらの種は土に植えて木を育てることができます。砂漠でも成長するかもしれませんが、肥沃な土地を好みます。,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,"Pflanze diese Samen in Erde, um einen Baum zu züchten.",Planta estas semillas en la tierra para que crezca un árbol.,
beerDesc,items,Food,EnChanged KgNone,アメリカでは自宅でビール(beer)造りが可能です。これもそんな名もない自家製ビール。\nほどよい飲酒は長めのスタミナ回復効果をもたらします。おじいちゃんのレシピは失われてしまいました。,"Gain stamina, bravado and stun immunity all in one bottle of this tasty home brewed beer. Just like grandpa used to make.","Erhalte Ausdauer, Wagemut und ein großes Ego. All das in nur einer Flasche dieses leckeren selbst gebrauten Biers. Das gleiche Bier, das Opa früher immer braute.","Aumenta tu resistencia, valentía y tu gran ego con una simple botella de esta deliciosa cerveza casera. Tal y como el abuelo solía hacerla.",
ironFragment,items,Item,EnChanged KgNone,Raw Iron,Raw Iron,Eisenbruchstücke,,Trozos de hierro
ironFragmentDesc,items,Item,EnChanged KgNone,鍛冶炉(forge)で溶解すれば鉄になる他、ラッパ銃の弾の材料になります。,Raw iron should be smelted in a forge but can also be scrapped at a loss.,"Einer der wichtigsten Schmiedegegenstände, mit dem auch Munition für die Donnerbüchse gefertigt werden kann.",Un objeto de forja básico que se puede usar también para fabricar munición para trabucos.,
leatherDesc,items,Item,EnChanged KgNone,なめし革(Leather)は、衣類やクロスボウを含め、色々なクラフトの材料になります。perk購入かスキル本を読めば作成出来ます。,"Leather can be used to make a variety of things including clothing, crossbows and bellows for a forge.","Mit Leder kann eine Reihe von Sachen hergestellt werden, darunter Kleidung, Armbrüste und Blasebälge für die Schmiede.","El cuero se puede usar para fabricar varios objetos, como ropa o ballestas, una vez que has leído el libro del Cuero.",
rottingFleshDesc,items,Item,EnChanged KgNone,食べられますが、そうしないことをオススメします。\nもし食べる場合でも、なんの肉か、どこの部位かは考えてはいけません。,You can eat it but it is probably better used to make fertilizer in a cement mixer.,"Du kannst es essen, solltest es aber wohl lassen.","Puedes comerla, pero probablemente no deberías.",
painkillers,items,Medical,EnChanged KgNone,Painkillers,Painkillers,Schmerzmittel,,Analgésicos
pickupCrops,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0} {1},Press <{{0}}> to pick up: {0} {1},"<{{0}}> drücken, um {0} {1} aufzuheben",Presiona <{{0}}> para recoger {0} {1}.,
pickupPrompt,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0},Press <{{0}}> to pick up: {0},"<{{0}}> drücken, um {0} aufzuheben",Presiona <{{0}}> para recoger {0}.,
friendInviteAccepted,UI,Menu,EnChanged KgNone,Accepted friend request from {0}.,Accepted friend request from {0}.,Verbündeteschaftsanfrage von {0} angenommen.,,Aceptaste la solicitud de aliado de {0}.
friendInviteAccepted2,UI,Menu,EnChanged KgNone,{0} accepted your friend request.,{0} accepted your friend request.,{0} hat deine Verbündeteschaftsanfrage angenommen.,,{0} aceptó tu solicitud de aliado.
friendInviteDeclined,UI,Menu,EnChanged KgNone,Declined friend invite from {0}.,Declined friend invite from {0}.,Verbündeteschaftsanfrage von {0} abgelehnt.,,Rechazaste la invitación de aliado de {0}.
friendInviteDeclined2,UI,Menu,EnChanged KgNone,{0} declined your friend request.,{0} declined your friend request.,{0} hat deine Verbündeteschaftsanfrage abgelehnt.,,{0} rechazó tu solicitud de aliado.
friendInviteReceived,UI,Menu,EnChanged KgNone,Friend invite received from {0}.,Friend invite received from {0}.,Verbündeteschaftsanfrage von {0} erhalten.,,Recibiste una solicitud de aliado de {0}.
friendRemoved,UI,Menu,EnChanged KgNone,{0} was removed from your friends list.,{0} was removed from your friends list.,{0} wurde aus deiner Verbündete entfernt.,,Se eliminó a {0} de tu lista de aliados.
friendRemoved2,UI,Menu,EnChanged KgNone,{0} removed you from their friends list.,{0} removed you from their friends list.,Du wurdest aus der Verbündete von {0} entfernt.,,{0} te eliminó de su lista de aliados.
friendSentInvite,UI,Menu,EnChanged KgNone,Friend invite sent to {0}.,Friend invite sent to {0}.,Verbündeteschaftsanfrage an {0} geschickt.,,Invitación de aliado enviada a {0}.
goDayLengthDesc,UI,Menu,EnChanged KgNone,How long it takes for 24 hours to pass in the game.,How long it takes for 24 hours to pass in the game.,"Bestimmt, wie lange es in Echtzeit dauert, bis 24 Stunden im Spiel vergehen.",Cuánto tardan en pasar las 24 horas en el juego en minutos reales.,
lblCategoryScavenging,UI,Tooltip,EnChanged KgNone,収集/売買,Scavenging/Trading,Plünderung,,Carroñar
itemTooltipFocusedOne,UI,Use Prompt,EnChanged KgNone,<{0}> Collect: {1},<{0}> Collect: {1},<{0}> Sammle {1},,<{0}> Recoge {1}
itemTooltipFocusedSeveral,UI,Use Prompt,EnChanged KgNone,<{0}> Collect: {2} of {1},<{0}> Collect: {2} of {1},<{0}> Sammle {2} von: {1},,<{0}> Recoge {2} de {1}
cannotBreatheTooltip,buffs,Buff,EnChanged,You cannot breathe.,You cannot breathe.,,,
freshAirDesc,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
freshAirTooltip,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
InstantSickDrunk,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
chainLink,blocks,Block,GrChanged,Chain Link,Chain Link,Maschendrahtzaun,,Eslabón
chainLinkCornerBottom,blocks,Block,GrChanged,Chain Link Corner Bottom,Chain Link Corner Bottom,Maschendrahtzaun – Untere Ecke,,Eslabón inferior de esquina
chainLinkCornerTop,blocks,Block,GrChanged,Chain Link Corner Top,Chain Link Corner Top,Maschendrahtzaun – Obere Ecke,,Eslabón superior de esquina
